,0
0,North Carolina
1,Mississippi
2,Illinois
3,Pennsylvania
4,New York
5,Oklahoma
6,Alaska
7,New Mexico
8,Nevada
9,Wisconsin
10,Nebraska
11,Virginia
12,Florida
13,Kentucky
14,Iowa
15,Kansas
16,South Dakota
17,New Hampshire
18,Montana
19,Louisiana
20,Missouri
21,California
22,Massachusetts
23,South Carolina
24,Michigan
25,Oregon
26,Vermont
27,Georgia
28,Arkansas
29,Delaware
30,Hawaii
31,North Dakota
32,Wyoming
33,Rhode Island
34,Minnesota
35,Alabama
36,Colorado
37,Arizona
38,Idaho
39,Indiana
40,Maryland
41,Washington
42,Tennessee
43,New Jersey
44,Utah
45,Connecticut
46,West Virginia
47,Maine
